retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
4/27/2023 10:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,32,1011,54,1.22,122
4/27/2023 10:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,96,p2,32,1011,62,1.03,0
4/27/2023 10:16:31,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,95,p2,32,1012,60,2.57,300
4/27/2023 10:17:02,TH-13,Khlong Luang,Pathum Thani,Thailand,88,p2,32,1011,73,2.57,300
4/27/2023 10:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,237,p2,31,1011,50,1.72,126
4/27/2023 10:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,127,p2,31,1011,49,1.63,113
4/27/2023 10:18:34,TH-16,Ban Mi,Lop Buri,Thailand,72,p2,33,1011,52,1.79,140
4/27/2023 10:19:05,TH-20,Na Kluea,Chon Buri,Thailand,99,p2,33,1011,64,2.17,99
4/27/2023 10:19:37,TH-21,Ban Khai,Rayong,Thailand,108,p2,33,1011,56,1.79,130
4/27/2023 10:20:08,TH-50,Chiang Mai,Chiang Mai,Thailand,119,p2,31,985,56,2.06,190
4/27/2023 10:20:39,TH-52,Hang Chat,Lampang,Thailand,121,p2,32,1012,30,1.47,168
4/27/2023 11:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,34,1010,47,2.37,142
4/27/2023 11:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,90,p2,33,1011,55,1.03,0
4/27/2023 11:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,86,p2,34,1011,57,3.09,290
4/27/2023 11:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,92,p2,34,1011,73,3.09,290
4/27/2023 11:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,171,p2,33,1010,45,2.69,141
4/27/2023 11:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,130,p2,35,1010,43,2.2,133
4/27/2023 11:18:33,TH-16,Ban Mi,Lop Buri,Thailand,80,p2,34,1010,45,2.17,155
4/27/2023 11:19:04,TH-20,Na Kluea,Chon Buri,Thailand,95,p2,33,1011,61,1.77,131
4/27/2023 11:19:36,TH-21,Ban Khai,Rayong,Thailand,89,p2,33,1011,50,1.82,141
4/27/2023 11:20:07,TH-50,Chiang Mai,Chiang Mai,Thailand,107,p2,33,994,56,3.09,180
4/27/2023 11:20:38,TH-52,Hang Chat,Lampang,Thailand,112,p2,34,1011,46,1.87,161
4/27/2023 12:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,107,p2,34,1009,46,3.2,152
